cell_type,rank_in_panel,protein_name,gene_name,protein_ids,protein_id,median_intensity_cell_log10,cv_percent_cell,n_precursors,median_intensity_plasma_log10,ratio_cell_over_plasma
platelet,1,"Actin, cytoplasmic 1",ACTB,P60709,P60709,8.65,2.31,56.0,4.6,11305.13
platelet,2,Profilin-1,PFN1,P07737,P07737,8.35,9.17,23.0,4.3,11278.96
platelet,3,Tropomyosin alpha-4 chain,TPM4,P67936,P67936,8.23,5.06,23.0,,
platelet,4,Talin-1,TLN1,Q9Y490,Q9Y490,8.15,1.51,227.0,,
platelet,5,Thrombospondin-1,THBS1,P07996,P07996,8.14,0.58,82.0,4.55,3907.23
platelet,6,Isoform 2 of Filamin-A,FLNA,P21333-2,P21333-2,8.11,2.89,220.0,3.74,23233.43
platelet,7,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,P04406,P04406,7.99,5.81,31.0,4.21,6149.43
platelet,8,Integrin alpha-IIb,ITGA2B,P08514,P08514,7.98,3.49,57.0,,
platelet,9,14-3-3 protein zeta/delta,YWHAZ,P63104,P63104,7.95,4.49,27.0,3.75,15861.47
platelet,10,Fermitin family homolog 3,FERMT3,Q86UX7;Q86UX7-2,Q86UX7,7.93,3.38,59.0,,
platelet,11,Myosin-9,MYH9,P35579,P35579,7.91,2.0,202.0,,
platelet,12,Isoform 3 of Alpha-actinin-1,ACTN1,P12814-3,P12814-3,7.89,3.8,111.0,,
platelet,13,Platelet basic protein,PPBP,P02775,P02775,7.89,9.27,14.0,4.65,1747.1
platelet,14,Isoform Smooth muscle of Myosin light polypeptide 6,MYL6,P60660-2,P60660-2,7.88,5.53,18.0,,
platelet,15,Ras-related protein Rap-1b,RAP1B,P61224,P61224,7.87,8.15,7.0,,
platelet,16,Tubulin alpha-1C chain,TUBA1C,Q9BQE3,Q9BQE3,7.85,8.62,11.0,,
platelet,17,Platelet factor 4,PF4,P02776,P02776,7.82,3.46,6.0,4.31,3178.9
platelet,18,Integrin beta-3,ITGB3,P05106,P05106,7.78,6.16,36.0,3.37,25565.51
platelet,19,Beta-actin-like protein 2,ACTBL2,Q562R1,Q562R1,7.77,12.18,10.0,,
