workflow,cell_type,rank_in_panel,protein_name,gene_name,protein_ids,protein_id,median_intensity_cell_log10,cv_percent_cell,n_precursors,median_intensity_plasma_log10,ratio_cell_over_plasma
SAX,pbmc,21,Ras-related protein Rab-8A,RAB8A,P61006,P61006,7.62,13.62,12.0,4.6,1044.55
SAX,pbmc,22,ADP/ATP translocase 2,SLC25A5,P05141,P05141,7.6,14.18,18.0,3.95,4463.26
SAX,pbmc,23,Activated RNA polymerase II transcriptional coactivator p15,SUB1,P53999,P53999,7.58,4.82,10.0,,
SAX,pbmc,24,Tubulin beta-1 chain,TUBB1,Q9H4B7,Q9H4B7,7.58,7.7,42.0,4.01,3732.2
SAX,pbmc,25,Pyruvate kinase PKM,PKM,P14618,P14618,7.55,5.88,60.0,4.48,1170.08
SAX,pbmc,26,Isoform 2 of Tropomyosin alpha-3 chain,TPM3,P06753-2,P06753-2,7.53,5.67,10.0,4.22,2057.12
SAX,pbmc,27,High mobility group protein B1,HMGB1,P09429,P09429,7.52,8.71,16.0,,
SAX,pbmc,28,GTP-binding nuclear protein Ran,RAN,P62826,P62826,7.51,14.14,12.0,4.33,1495.12
SAX,pbmc,29,Voltage-dependent anion-selective channel protein 3,VDAC3,Q9Y277,Q9Y277,7.5,14.27,22.0,3.81,4899.82
SAX,pbmc,30,60S acidic ribosomal protein P2,RPLP2,P05387,P05387,7.49,14.6,6.0,4.27,1656.45
Sera Sil 700,platelet,1,"Actin, cytoplasmic 1",ACTB,P60709,P60709,8.6,7.64,62.0,5.32,1812.99
Sera Sil 700,platelet,2,Integrin alpha-IIb,ITGA2B,P08514,P08514,8.08,3.54,53.0,4.61,2903.68
Sera Sil 700,platelet,3,Talin-1,TLN1,Q9Y490,Q9Y490,8.05,8.26,205.0,4.58,2930.12
Sera Sil 700,platelet,4,Ras-related protein Rap-1b,RAP1B,P61224,P61224,7.91,5.59,6.0,4.5,2556.57
Sera Sil 700,platelet,5,Beta-actin-like protein 2,ACTBL2,Q562R1,Q562R1,7.91,19.43,7.0,3.79,11450.73
Sera Sil 700,platelet,6,Myosin-9,MYH9,P35579,P35579,7.91,2.75,201.0,4.21,4986.94
Sera Sil 700,platelet,7,14-3-3 protein zeta/delta,YWHAZ,P63104,P63104,7.9,11.11,24.0,4.54,2266.8
Sera Sil 700,platelet,8,Tropomyosin alpha-4 chain,TPM4,P67936,P67936,7.88,7.84,18.0,4.6,1919.81
Sera Sil 700,platelet,9,Isoform 3 of Alpha-actinin-1,ACTN1,P12814-3,P12814-3,7.87,5.93,109.0,4.33,3495.66
Sera Sil 700,platelet,10,Isoform 2 of Filamin-A,FLNA,P21333-2,P21333-2,7.86,3.97,208.0,4.48,2397.08
Sera Sil 700,platelet,11,Tubulin alpha-1C chain,TUBA1C,Q9BQE3,Q9BQE3,7.86,5.84,13.0,4.23,4265.23
Sera Sil 700,platelet,12,Myosin regulatory light polypeptide 9,MYL9,P24844,P24844,7.82,4.03,17.0,4.12,4835.29
Sera Sil 700,platelet,13,Fermitin family homolog 3,FERMT3,Q86UX7;Q86UX7-2,Q86UX7,7.81,11.4,54.0,4.51,1960.3
Sera Sil 700,platelet,14,Integrin beta-3,ITGB3,P05106,P05106,7.77,3.55,31.0,4.47,2009.92
Sera Sil 700,platelet,15,Isoform 2 of Platelet glycoprotein Ib beta chain,GP1BB,P13224-2,P13224-2,7.75,3.99,5.0,4.27,2959.59
Sera Sil 700,platelet,16,Ras-related protein Rab-8A,RAB8A,P61006,P61006,7.7,7.18,12.0,4.52,1521.57
Sera Sil 700,platelet,17,Tubulin beta chain,TUBB,P07437,P07437,7.69,8.09,41.0,3.99,5003.47
Sera Sil 700,platelet,18,LIM and senescent cell antigen-like-containing domain protein 1,LIMS1,P48059,P48059,7.68,7.93,18.0,3.94,5382.46
Sera Sil 700,platelet,19,Profilin-1,PFN1,P07737,P07737,7.61,19.21,16.0,4.51,1278.24
Sera Sil 700,platelet,20,Myosin regulatory light chain 12A,MYL12A,P19105,P19105,7.6,8.54,7.0,3.86,5533.03
Sera Sil 700,platelet,21,Ras-related protein Rab-15,RAB15,P59190,P59190,7.6,7.14,2.0,4.45,1418.12
Sera Sil 700,platelet,22,WD repeat-containing protein 1,WDR1,O75083,O75083,7.56,8.84,26.0,4.07,3087.69
Sera Sil 700,platelet,23,Vinculin,VCL,P18206;P18206-2,P18206,7.56,10.11,92.0,4.35,1630.65
Sera Sil 700,platelet,24,Isoform 2 of Tubulin alpha-4A chain,TUBA4A,P68366-2,P68366-2,7.51,7.53,44.0,4.11,2486.03
Sera Sil 700,platelet,25,Tubulin beta-1 chain,TUBB1,Q9H4B7,Q9H4B7,7.5,7.93,43.0,4.0,2791.02
Sera Sil 700,platelet,26,Isoform 3 of Beta-parvin,PARVB,Q9HBI1-3,Q9HBI1-3,7.49,3.02,32.0,4.07,2645.4
Sera Sil 700,platelet,27,Thymosin beta-4,TMSB4X,P62328,P62328,7.42,19.69,7.0,,
Sera Sil 700,platelet,28,Histone H4,H4C1,P62805,P62805,7.4,5.32,9.0,4.37,1053.66
Sera Sil 700,platelet,29,Zyxin,ZYX,Q15942,Q15942,7.35,6.66,35.0,4.0,2242.77
Sera Sil 700,platelet,30,Isoform 8 of Tropomyosin alpha-1 chain,TPM1,P09493-8,P09493-8,7.28,5.8,10.0,3.88,2413.2
Sera Sil 700,erythrocyte,1,Hemoglobin subunit beta,HBB,P68871,P68871,10.04,4.2,42.0,6.83,1633.18
Sera Sil 700,erythrocyte,2,Hemoglobin subunit alpha,HBA1,P69905,P69905,9.91,3.27,23.0,6.63,1917.86
Sera Sil 700,erythrocyte,3,Band 3 anion transport protein,SLC4A1,P02730,P02730,9.66,3.58,70.0,5.86,6218.09
Sera Sil 700,erythrocyte,4,Carbonic anhydrase 1,CA1,P00915,P00915,9.16,5.27,32.0,4.53,42891.72
Sera Sil 700,erythrocyte,5,"Isoform 2 of Spectrin beta chain, erythrocytic",SPTB,P11277-2,P11277-2,9.03,2.27,247.0,5.18,7158.33
Sera Sil 700,erythrocyte,6,Isoform Er5 of Ankyrin-1,ANK1,P16157-3,P16157-3,8.99,1.26,169.0,5.01,9535.23
Sera Sil 700,erythrocyte,7,"Spectrin alpha chain, erythrocytic 1",SPTA1,P02549,P02549,8.96,0.79,256.0,5.02,8711.7
Sera Sil 700,erythrocyte,8,Isoform Long of Protein 4.2,EPB42,P16452-2,P16452-2,8.93,4.7,54.0,4.81,13030.53
Sera Sil 700,erythrocyte,9,Hemoglobin subunit delta,HBD,P02042,P02042,8.9,10.64,16.0,5.27,4257.66
Sera Sil 700,erythrocyte,10,"Actin, cytoplasmic 1",ACTB,P60709,P60709,8.88,4.05,40.0,5.83,1129.45
Sera Sil 700,erythrocyte,11,GTP-binding nuclear protein Ran,RAN,P62826,P62826,8.84,5.38,16.0,4.18,45156.93
Sera Sil 700,erythrocyte,12,Protein 4.1,EPB41,P11171,P11171,8.82,4.43,76.0,4.87,8838.5
Sera Sil 700,erythrocyte,13,"Solute carrier family 2, facilitated glucose transporter member 1",SLC2A1,P11166,P11166,8.78,4.88,16.0,5.09,4878.93
Sera Sil 700,erythrocyte,14,Glycophorin-A,GYPA,P02724;P02724-2;P02724-3,P02724,8.69,14.88,4.0,4.97,5287.28
Sera Sil 700,erythrocyte,15,Peroxiredoxin-2,PRDX2,P32119,P32119,8.68,9.44,18.0,5.33,2230.27
Sera Sil 700,erythrocyte,16,Flavin reductase (NADPH),BLVRB,P30043,P30043,8.66,3.58,22.0,4.11,36061.63
Sera Sil 700,erythrocyte,17,Carbonic anhydrase 2,CA2,P00918,P00918,8.65,11.04,26.0,4.03,41084.61
Sera Sil 700,erythrocyte,18,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,P04406,P04406,8.63,3.2,25.0,5.33,2010.87
Sera Sil 700,erythrocyte,19,Dematin,DMTN,Q08495,Q08495,8.61,3.87,31.0,4.55,11518.14
Sera Sil 700,erythrocyte,20,Ammonium transporter Rh type A,RHAG,Q02094,Q02094,8.6,6.89,2.0,4.67,8531.79
Sera Sil 700,erythrocyte,21,Isoform 2 of Tropomyosin alpha-3 chain,TPM3,P06753-2,P06753-2,8.59,0.97,11.0,4.83,5779.84
Sera Sil 700,erythrocyte,22,55 kDa erythrocyte membrane protein,MPP1,Q00013,Q00013,8.55,2.71,34.0,4.46,12168.85
Sera Sil 700,erythrocyte,23,Hemoglobin subunit gamma-2,HBG2,P69892,P69892,8.53,8.52,20.0,5.19,2191.2
Sera Sil 700,erythrocyte,24,Stomatin,STOM,P27105,P27105,8.48,4.76,32.0,4.98,3136.01
Sera Sil 700,erythrocyte,25,Catalase,CAT,P04040,P04040,8.42,2.23,42.0,5.31,1292.99
Sera Sil 700,erythrocyte,26,Isoform 8 of Tropomyosin alpha-1 chain,TPM1,P09493-8,P09493-8,8.42,6.01,11.0,4.51,8000.89
Sera Sil 700,erythrocyte,27,Delta-aminolevulinic acid dehydratase,ALAD,P13716,P13716,8.39,5.97,22.0,4.3,12133.71
Sera Sil 700,erythrocyte,28,Ras-related protein Rab-8A,RAB8A,P61006,P61006,8.38,4.86,11.0,5.07,2045.62
Sera Sil 700,erythrocyte,29,Hsc70-interacting protein,ST13,P50502,P50502,8.37,7.25,14.0,4.45,8224.76
Sera Sil 700,erythrocyte,30,Beta-adducin,ADD2,P35612,P35612,8.34,3.33,68.0,4.31,10672.16
Sera Sil 700,pbmc,1,Hemoglobin subunit beta,HBB,P68871,P68871,8.51,31.87,28.0,6.12,248.98
Sera Sil 700,pbmc,2,Hemoglobin subunit alpha,HBA1,P69905,P69905,8.23,29.73,18.0,5.93,197.44
Sera Sil 700,pbmc,3,Isoform Smooth muscle of Myosin light polypeptide 6,MYL6,P60660-2,P60660-2,8.2,33.6,19.0,3.48,52572.71
Sera Sil 700,pbmc,4,Tubulin alpha-1C chain,TUBA1C,Q9BQE3,Q9BQE3,7.97,26.15,12.0,3.99,9734.06
Sera Sil 700,pbmc,5,LIM and senescent cell antigen-like-containing domain protein 1,LIMS1,P48059,P48059,7.92,32.49,21.0,,
Sera Sil 700,pbmc,6,Vimentin,VIM,P08670,P08670,7.77,33.53,42.0,4.09,4805.86
Sera Sil 700,pbmc,7,Isoform 2 of Tubulin alpha-4A chain,TUBA4A,P68366-2,P68366-2,7.67,33.42,38.0,4.43,1737.35
Sera Sil 700,pbmc,8,Fermitin family homolog 3,FERMT3,Q86UX7;Q86UX7-2,Q86UX7,7.64,33.39,50.0,4.05,4019.81
Sera Sil 700,pbmc,9,Ras-related protein Rab-15,RAB15,P59190,P59190,7.55,32.56,2.0,4.11,2735.18
Sera Sil 700,pbmc,10,14-3-3 protein zeta/delta,YWHAZ,P63104,P63104,7.52,34.31,22.0,4.36,1460.49
Sera Sil 700,pbmc,11,Isoform 2 of Heat shock protein HSP 90-alpha,HSP90AA1,P07900-2,P07900-2,7.52,30.09,48.0,4.55,930.13
Sera Sil 700,pbmc,12,"ATP synthase subunit alpha, mitochondrial",ATP5F1A,P25705,P25705,7.51,33.79,32.0,,
Sera Sil 700,pbmc,13,Ras-related protein Rap-1A,RAP1A,P62834,P62834,7.42,25.19,17.0,4.06,2182.47
Sera Sil 700,pbmc,14,Tropomyosin alpha-4 chain,TPM4,P67936,P67936,7.35,34.99,14.0,3.86,3199.29
Sera Sil 700,pbmc,15,Profilin-1,PFN1,P07737,P07737,7.26,33.82,15.0,4.16,1289.01
