workflow,cell_type,rank_in_panel,protein_name,gene_name,protein_ids,protein_id,median_intensity_cell_log10,cv_percent_cell,n_precursors,median_intensity_plasma_log10,ratio_cell_over_plasma
Neat,platelet,1,"Actin, cytoplasmic 1",ACTB,P60709,P60709,8.65,2.31,56.0,4.6,11305.13
Neat,platelet,2,Profilin-1,PFN1,P07737,P07737,8.35,9.17,22.0,4.3,11278.96
Neat,platelet,3,Tropomyosin alpha-4 chain,TPM4,P67936,P67936,8.23,5.06,22.0,,
Neat,platelet,4,Talin-1,TLN1,Q9Y490,Q9Y490,8.15,1.51,226.0,,
Neat,platelet,5,Thrombospondin-1,THBS1,P07996,P07996,8.14,0.58,82.0,4.55,3907.23
Neat,platelet,6,Isoform 2 of Filamin-A,FLNA,P21333-2,P21333-2,8.11,2.89,220.0,3.74,23233.43
Neat,platelet,7,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,P04406,P04406,7.99,5.81,30.0,4.21,6149.43
Neat,platelet,8,Integrin alpha-IIb,ITGA2B,P08514,P08514,7.98,3.49,57.0,,
Neat,platelet,9,14-3-3 protein zeta/delta,YWHAZ,P63104,P63104,7.95,4.49,26.0,3.75,15861.47
Neat,platelet,10,Fermitin family homolog 3,FERMT3,Q86UX7;Q86UX7-2,Q86UX7,7.93,3.38,59.0,,
Neat,platelet,11,Myosin-9,MYH9,P35579,P35579,7.91,2.0,202.0,,
Neat,platelet,12,Isoform 3 of Alpha-actinin-1,ACTN1,P12814-3,P12814-3,7.89,3.8,110.0,,
Neat,platelet,13,Platelet basic protein,PPBP,P02775,P02775,7.89,9.27,14.0,4.65,1747.1
Neat,platelet,14,Isoform Smooth muscle of Myosin light polypeptide 6,MYL6,P60660-2,P60660-2,7.88,5.53,18.0,,
Neat,platelet,15,Ras-related protein Rap-1b,RAP1B,P61224,P61224,7.87,8.15,7.0,,
Neat,platelet,16,Tubulin alpha-1C chain,TUBA1C,Q9BQE3,Q9BQE3,7.85,8.62,11.0,,
Neat,platelet,17,Platelet factor 4,PF4,P02776,P02776,7.82,3.46,6.0,4.31,3178.9
Neat,platelet,18,Integrin beta-3,ITGB3,P05106,P05106,7.78,6.16,36.0,3.37,25565.51
Neat,platelet,19,Beta-actin-like protein 2,ACTBL2,Q562R1,Q562R1,7.77,12.18,10.0,,
Neat,platelet,20,Vinculin,VCL,P18206;P18206-2,P18206,7.77,3.96,108.0,3.93,6877.02
Neat,platelet,21,Transgelin-2,TAGLN2,P37802;P37802-2,P37802,7.74,2.91,28.0,3.38,22916.88
Neat,platelet,22,Isoform 2 of Tubulin alpha-4A chain,TUBA4A,P68366-2,P68366-2,7.72,4.44,44.0,,
Neat,platelet,23,Myosin regulatory light polypeptide 9,MYL9,P24844,P24844,7.7,4.92,18.0,,
Neat,platelet,24,Isoform 2 of Tropomyosin alpha-3 chain,TPM3,P06753-2,P06753-2,7.68,6.61,17.0,,
Neat,platelet,25,Isoform 2 of Platelet glycoprotein Ib beta chain,GP1BB,P13224-2,P13224-2,7.68,3.08,5.0,,
Neat,platelet,26,LIM and senescent cell antigen-like-containing domain protein 1,LIMS1,P48059,P48059,7.66,4.89,24.0,,
Neat,platelet,27,Pyruvate kinase PKM,PKM,P14618,P14618,7.6,4.8,62.0,3.86,5232.13
Neat,platelet,28,Tubulin beta chain,TUBB,P07437,P07437,7.58,4.43,45.0,,
Neat,platelet,29,Pleckstrin,PLEK,P08567,P08567,7.57,11.14,26.0,,
Neat,platelet,30,Adenylyl cyclase-associated protein 1,CAP1,Q01518,Q01518,7.53,9.91,43.0,,
Neat,erythrocyte,1,Hemoglobin subunit beta,HBB,P68871,P68871,10.73,12.26,46.0,6.41,20989.77
Neat,erythrocyte,2,Hemoglobin subunit alpha,HBA1,P69905,P69905,10.67,6.25,26.0,6.12,35507.32
Neat,erythrocyte,3,Hemoglobin subunit delta,HBD,P02042,P02042,9.76,5.02,22.0,4.95,64734.57
Neat,erythrocyte,4,Hemoglobin subunit gamma-2,HBG2,P69892,P69892,9.46,18.18,28.0,4.66,63334.94
Neat,erythrocyte,5,Carbonic anhydrase 1,CA1,P00915,P00915,9.3,8.85,32.0,4.41,77282.32
Neat,erythrocyte,6,Band 3 anion transport protein,SLC4A1,P02730,P02730,8.98,16.89,42.0,3.81,150641.86
Neat,erythrocyte,7,Catalase,CAT,P04040,P04040,8.94,6.62,36.0,4.19,56075.41
Neat,erythrocyte,8,Peroxiredoxin-2,PRDX2,P32119,P32119,8.92,8.57,19.0,4.14,59653.79
Neat,erythrocyte,9,Bisphosphoglycerate mutase,BPGM,P07738,P07738,8.82,12.39,17.0,,
Neat,erythrocyte,10,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,P04406,P04406,8.69,15.18,16.0,4.19,31497.78
Neat,erythrocyte,11,Carbonic anhydrase 2,CA2,P00918,P00918,8.65,14.18,22.0,4.39,18391.04
Neat,erythrocyte,12,Hemoglobin subunit gamma-1,HBG1,P69891,P69891,8.61,5.29,4.0,3.64,94672.42
Neat,erythrocyte,13,Superoxide dismutase [Cu-Zn],SOD1,P00441,P00441,8.57,8.49,4.0,,
Neat,erythrocyte,14,Isoform 4 of Methanethiol oxidase,SELENBP1,Q13228-4,Q13228-4,8.56,13.73,34.0,4.23,21421.64
Neat,erythrocyte,15,Peroxiredoxin-6,PRDX6,P30041,P30041,8.48,13.39,16.0,3.78,49947.69
Neat,erythrocyte,16,Isoform Er5 of Ankyrin-1,ANK1,P16157-3,P16157-3,8.48,11.69,106.0,,
Neat,erythrocyte,17,"Spectrin alpha chain, erythrocytic 1",SPTA1,P02549,P02549,8.45,10.73,160.0,5.14,2038.09
Neat,erythrocyte,18,Isoform Long of Protein 4.2,EPB42,P16452-2,P16452-2,8.42,8.3,32.0,,
Neat,erythrocyte,19,Tropomyosin alpha-4 chain,TPM4,P67936,P67936,8.4,15.89,2.0,,
Neat,erythrocyte,20,"Actin, cytoplasmic 1",ACTB,P60709,P60709,8.4,12.74,28.0,4.61,6110.79
Neat,erythrocyte,21,Adenylate kinase isoenzyme 1,AK1,P00568,P00568,8.37,11.52,16.0,,
Neat,erythrocyte,22,"Isoform 2 of Spectrin beta chain, erythrocytic",SPTB,P11277-2,P11277-2,8.35,14.28,150.0,4.91,2758.64
Neat,erythrocyte,23,Peptidyl-prolyl cis-trans isomerase A,PPIA,P62937,P62937,8.33,7.99,13.0,3.6,54308.63
Neat,erythrocyte,24,GTP-binding nuclear protein Ran,RAN,P62826,P62826,8.28,8.21,7.0,,
Neat,erythrocyte,25,Fructose-bisphosphate aldolase A,ALDOA,P04075,P04075,8.22,15.19,21.0,4.2,10539.95
Neat,erythrocyte,26,Dematin,DMTN,Q08495,Q08495,8.21,9.82,18.0,,
Neat,erythrocyte,27,Triosephosphate isomerase,TPI1,P60174;P60174-3,P60174,8.2,11.37,17.0,3.45,56089.67
Neat,erythrocyte,28,Isoform 2 of Tropomyosin alpha-3 chain,TPM3,P06753-2,P06753-2,8.18,11.9,7.0,,
Neat,erythrocyte,29,Phosphoglycerate kinase 1,PGK1,P00558,P00558,8.17,8.02,25.0,,
Neat,erythrocyte,30,Low molecular weight phosphotyrosine protein phosphatase,ACP1,P24666,P24666,8.17,11.73,4.0,,
Neat,pbmc,1,Histone H4,H4C1,P62805,P62805,9.66,22.13,23.0,,
Neat,pbmc,2,Histone H2A.Z,H2AZ1;H2AZ2,P0C0S5;Q71UI9,P0C0S5,9.17,26.83,7.0,,
Neat,pbmc,3,Histone H2B type 1-B,H2BC3,P33778,P33778,8.91,24.97,13.0,,
Neat,pbmc,4,Histone H2B type 1-M,H2BC14,Q99879,Q99879,8.11,19.87,4.0,,
Neat,pbmc,5,Ras-related protein Rap-1b,RAP1B,P61224,P61224,7.79,32.44,7.0,,
Neat,pbmc,6,Isoform 2 of Core histone macro-H2A.1,MACROH2A1,O75367-1;O75367-3,O75367-1,7.75,31.94,27.0,,
Neat,pbmc,7,"ATP synthase subunit alpha, mitochondrial",ATP5F1A,P25705,P25705,7.68,24.32,35.0,,
Neat,pbmc,8,ADP/ATP translocase 2,SLC25A5,P05141,P05141,7.66,34.44,20.0,,
Neat,pbmc,9,Ras-related protein Rap-1A,RAP1A,P62834,P62834,7.64,26.69,16.0,,
Neat,pbmc,10,Lamin-B1,LMNB1,P20700,P20700,7.57,34.79,48.0,,
Neat,pbmc,11,"ATP synthase subunit beta, mitochondrial",ATP5F1B,P06576,P06576,7.52,26.4,42.0,,
Neat,pbmc,12,"10 kDa heat shock protein, mitochondrial",HSPE1,P61604,P61604,7.45,33.98,6.0,4.32,1370.14
Neat,pbmc,13,Voltage-dependent anion-selective channel protein 3,VDAC3,Q9Y277,Q9Y277,7.42,34.13,22.0,,
Neat,pbmc,14,Prohibitin 1,PHB1,P35232,P35232,7.37,24.28,20.0,,
Neat,pbmc,15,Voltage-dependent anion-selective channel protein 1,VDAC1,P21796,P21796,7.36,25.89,20.0,,
Neat,pbmc,16,Cytochrome c oxidase subunit 6C,COX6C,P09669,P09669,7.35,31.04,3.0,,
Neat,pbmc,17,"Malate dehydrogenase, mitochondrial",MDH2,P40926,P40926,7.3,26.8,26.0,,
Neat,pbmc,18,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",COX4I1,P13073,P13073,7.3,31.55,13.0,,
Neat,pbmc,19,Histone H1.3,H1-3,P16402,P16402,7.29,11.33,6.0,,
Neat,pbmc,20,Guanine nucleotide-binding protein G(i) subunit alpha-2,GNAI2,P04899,P04899,7.28,34.99,24.0,,
Neat,pbmc,21,Ubiquitin-40S ribosomal protein S27a,RPS27A,P62979,P62979,7.22,34.92,7.0,,
Neat,pbmc,22,"Cytochrome c oxidase subunit 7A2, mitochondrial",COX7A2,P14406,P14406,7.2,21.71,5.0,,
Neat,pbmc,23,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,P30048;P30048-2,P30048,7.18,21.19,9.0,,
Neat,pbmc,24,Lysozyme C,LYZ,P61626,P61626,7.17,30.47,6.0,4.92,177.64
Neat,pbmc,25,Adipocyte plasma membrane-associated protein,APMAP,Q9HDC9,Q9HDC9,7.14,26.83,22.0,4.79,223.36
Neat,pbmc,26,Translocon-associated protein subunit alpha,SSR1,P43307,P43307,7.14,15.56,10.0,4.54,404.38
Neat,pbmc,27,Endoplasmin,HSP90B1,P14625,P14625,7.14,33.28,46.0,4.25,779.31
Neat,pbmc,28,Cytochrome c oxidase subunit NDUFA4,NDUFA4,O00483,O00483,7.14,31.13,4.0,,
Neat,pbmc,29,"ATP synthase subunit O, mitochondrial",ATP5PO,P48047,P48047,7.13,26.6,9.0,,
Neat,pbmc,30,"Isocitrate dehydrogenase [NADP], mitochondrial",IDH2,P48735,P48735,7.13,27.22,29.0,,
PCA-N,platelet,1,Zyxin,ZYX,Q15942,Q15942,8.56,5.47,39.0,4.85,5171.74
PCA-N,platelet,2,"Actin, cytoplasmic 1",ACTB,P60709,P60709,8.38,8.92,42.0,4.7,4787.44
PCA-N,platelet,3,Histone H1.4,H1-4,P10412,P10412,8.15,9.52,6.0,4.99,1458.76
PCA-N,platelet,4,SH3 domain-binding glutamic acid-rich-like protein 3,SH3BGRL3,Q9H299,Q9H299,8.15,9.8,12.0,4.28,7269.36
PCA-N,platelet,5,Isoform 5 of Caldesmon,CALD1,Q05682-5,Q05682-5,8.13,11.93,38.0,4.55,3819.54
PCA-N,platelet,6,Caveolae-associated protein 2,CAVIN2,O95810,O95810,8.06,6.76,29.0,4.94,1321.56
PCA-N,platelet,7,Cysteine and glycine-rich protein 1,CSRP1,P21291,P21291,7.98,12.61,12.0,,
PCA-N,platelet,8,Neurogranin,NRGN,Q92686,Q92686,7.96,7.15,5.0,4.26,5031.95
PCA-N,platelet,9,Adapter SH3BGRL,SH3BGRL,O75368,O75368,7.89,8.83,14.0,4.65,1737.41
PCA-N,platelet,10,Leucine-rich repeat-containing protein 59,LRRC59,Q96AG4,Q96AG4,7.88,8.67,10.0,,
PCA-N,platelet,11,SH3 domain-binding glutamic acid-rich-like protein 2,SH3BGRL2,Q9UJC5,Q9UJC5,7.84,8.54,10.0,4.07,5790.42
PCA-N,platelet,12,PDZ and LIM domain protein 7,PDLIM7,Q9NR12,Q9NR12,7.77,10.62,14.0,,
PCA-N,platelet,13,Vesicle-associated membrane protein-associated protein A,VAPA,Q9P0L0,Q9P0L0,7.72,8.65,13.0,3.59,13548.67
PCA-N,platelet,14,LIM and senescent cell antigen-like-containing domain protein 1,LIMS1,P48059,P48059,7.7,5.69,16.0,,
PCA-N,platelet,15,Beta-actin-like protein 2,ACTBL2,Q562R1,Q562R1,7.59,16.48,4.0,3.61,9556.56
PCA-N,platelet,16,Poly(rC)-binding protein 1,PCBP1,Q15365,Q15365,7.58,19.52,13.0,,
PCA-N,platelet,17,Thrombospondin-1,THBS1,P07996,P07996,7.55,19.41,60.0,4.46,1223.99
PCA-N,platelet,18,Platelet factor 4 variant,PF4V1,P10720,P10720,7.55,17.17,4.0,4.36,1566.5
PCA-N,platelet,19,Tubulin alpha-1C chain,TUBA1C,Q9BQE3,Q9BQE3,7.55,10.97,8.0,4.48,1144.43
PCA-N,platelet,20,Nexilin,NEXN,Q0ZGT2,Q0ZGT2,7.54,6.62,34.0,,
PCA-N,platelet,21,Calumenin,CALU,O43852;O43852-3,O43852,7.54,8.69,13.0,,
PCA-N,platelet,22,WAS/WASL-interacting protein family member 1,WIPF1,O43516;O43516-3,O43516,7.51,16.22,19.0,,
PCA-N,platelet,23,Vasodilator-stimulated phosphoprotein,VASP,P50552,P50552,7.5,8.09,30.0,3.78,5262.28
PCA-N,platelet,24,Mesencephalic astrocyte-derived neurotrophic factor,MANF,P55145,P55145,7.47,11.19,16.0,4.08,2325.09
PCA-N,platelet,25,Isoform 3 of Poly(rC)-binding protein 2,PCBP2,Q15366-3,Q15366-3,7.45,11.69,10.0,,
PCA-N,platelet,26,Small ubiquitin-related modifier 2,SUMO2,P61956,P61956,7.44,9.42,2.0,3.92,3177.42
PCA-N,platelet,27,PDZ and LIM domain protein 1,PDLIM1,O00151,O00151,7.43,8.87,22.0,,
PCA-N,platelet,28,Histone H1.5,H1-5,P16401,P16401,7.41,14.69,6.0,4.28,1346.08
PCA-N,platelet,29,Isoform FYB-130 of FYN-binding protein 1,FYB1,O15117-2,O15117-2,7.37,5.06,32.0,3.46,8079.42
PCA-N,platelet,30,Ubiquitin-fold modifier 1,UFM1,P61960,P61960,7.36,6.94,6.0,,
PCA-N,erythrocyte,1,Ubiquitin-40S ribosomal protein S27a,RPS27A,P62979,P62979,10.0,41.56,20.0,5.53,30217.05
PCA-N,erythrocyte,2,Alpha-synuclein,SNCA,P37840;P37840-2,P37840,9.64,30.51,26.0,5.0,43480.48
PCA-N,erythrocyte,3,Glutaredoxin-1,GLRX,P35754,P35754,9.33,35.29,14.0,,
PCA-N,erythrocyte,4,Thioredoxin,TXN,P10599,P10599,9.28,42.97,21.0,4.97,20770.37
PCA-N,erythrocyte,5,Gamma-glutamylcyclotransferase,GGCT,O75223,O75223,8.51,40.75,14.0,,
PCA-N,erythrocyte,6,SH3 domain-binding glutamic acid-rich-like protein 3,SH3BGRL3,Q9H299,Q9H299,8.49,43.77,11.0,4.25,18192.4
PCA-N,erythrocyte,7,Isoform 6 of Calpastatin,CAST,P20810-6,P20810-6,8.42,38.43,32.0,4.18,12303.96
PCA-N,erythrocyte,8,2-iminobutanoate/2-iminopropanoate deaminase,RIDA,P52758,P52758,8.36,43.55,11.0,4.5,7521.97
PCA-N,erythrocyte,9,SH3 domain-binding glutamic acid-rich-like protein 2,SH3BGRL2,Q9UJC5,Q9UJC5,8.25,40.69,10.0,,
PCA-N,erythrocyte,10,28 kDa heat- and acid-stable phosphoprotein,PDAP1,Q13442,Q13442,7.88,43.93,8.0,,
PCA-N,erythrocyte,11,Leucine-rich repeat-containing protein 20,LRRC20,Q8TCA0,Q8TCA0,7.83,43.89,10.0,,
PCA-N,erythrocyte,12,Macrophage migration inhibitory factor,MIF,P14174,P14174,7.67,32.35,3.0,,
PCA-N,erythrocyte,13,Calcium-regulated heat-stable protein 1,CARHSP1,Q9Y2V2,Q9Y2V2,7.62,42.75,4.0,,
PCA-N,erythrocyte,14,Ubiquitin-fold modifier 1,UFM1,P61960,P61960,7.61,41.1,5.0,,
PCA-N,erythrocyte,15,Alpha-endosulfine,ENSA,O43768;O43768-3,O43768,7.58,43.18,10.0,,
PCA-N,erythrocyte,16,PEST proteolytic signal-containing nuclear protein,PCNP,Q8WW12,Q8WW12,7.56,42.34,13.0,,
PCA-N,erythrocyte,17,NEDD8,NEDD8,Q15843,Q15843,7.55,44.23,2.0,,
PCA-N,erythrocyte,18,D-dopachrome decarboxylase,DDT,P30046,P30046,7.51,32.64,2.0,,
PCA-N,erythrocyte,19,Isoform 2 of CB1 cannabinoid receptor-interacting protein 1,CNRIP1,Q96F85-2,Q96F85-2,7.45,44.61,4.0,,
PCA-N,erythrocyte,20,Ubiquilin-1,UBQLN1,Q9UMX0,Q9UMX0,7.43,44.22,4.0,,
PCA-N,erythrocyte,21,Histone H1.5,H1-5,P16401,P16401,7.43,43.02,3.0,4.39,1103.3
PCA-N,erythrocyte,22,Eukaryotic translation initiation factor 4E-binding protein 1,EIF4EBP1,Q13541,Q13541,7.41,29.21,6.0,,
PCA-N,erythrocyte,23,Y-box-binding protein 3,YBX3,P16989,P16989,7.39,41.34,6.0,,
PCA-N,erythrocyte,24,D-aminoacyl-tRNA deacylase 1,DTD1,Q8TEA8,Q8TEA8,7.36,43.74,6.0,,
PCA-N,erythrocyte,25,Protein CDV3 homolog,CDV3,Q9UKY7,Q9UKY7,7.33,30.92,6.0,,
PCA-N,erythrocyte,26,Stathmin,STMN1,P16949,P16949,7.32,31.98,6.0,,
PCA-N,erythrocyte,27,Eukaryotic translation initiation factor 3 subunit B,EIF3B,P55884;P55884-2,P55884,7.32,43.97,2.0,,
PCA-N,erythrocyte,28,Phosphoglycerate kinase 1,PGK1,P00558,P00558,7.27,37.43,12.0,,
PCA-N,erythrocyte,29,Zinc finger protein 428,ZNF428,Q96B54,Q96B54,7.24,42.81,4.0,,
PCA-N,erythrocyte,30,Cofilin-1,CFL1,P23528,P23528,7.24,25.32,7.0,,
PCA-N,pbmc,1,Platelet basic protein,PPBP,P02775,P02775,8.72,43.74,21.0,6.52,154.05
PCA-N,pbmc,2,Hemoglobin subunit beta,HBB,P68871,P68871,8.22,23.68,22.0,5.6,424.43
PCA-N,pbmc,3,Activated RNA polymerase II transcriptional coactivator p15,SUB1,P53999,P53999,8.11,49.6,12.0,,
PCA-N,pbmc,4,SH3 domain-binding glutamic acid-rich-like protein 3,SH3BGRL3,Q9H299,Q9H299,7.95,48.73,13.0,4.24,5473.39
PCA-N,pbmc,5,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,P04406,P04406,7.78,38.24,24.0,4.93,731.76
PCA-N,pbmc,6,Isoform 3 of Poly(rC)-binding protein 2,PCBP2,Q15366-3,Q15366-3,7.39,45.88,10.0,,
PCA-N,pbmc,7,SH3 domain-binding glutamic acid-rich-like protein 2,SH3BGRL2,Q9UJC5,Q9UJC5,7.36,48.67,10.0,,
PCA-N,pbmc,8,Poly(rC)-binding protein 1,PCBP1,Q15365,Q15365,7.34,47.34,12.0,,
PCA-N,pbmc,9,Latent-transforming growth factor beta-binding protein 1,LTBP1,Q14766,Q14766,7.3,47.09,37.0,4.8,334.67
PCA-N,pbmc,10,Talin-1,TLN1,Q9Y490,Q9Y490,7.22,38.87,107.0,3.87,2325.41
PCA-N,pbmc,11,RNA-binding protein 14,RBM14,Q96PK6,Q96PK6,7.11,34.43,13.0,,
PCA-N,pbmc,12,Ribonuclease T2,RNASET2,O00584,O00584,7.11,49.19,8.0,4.83,200.07
PCA-N,pbmc,13,Transmembrane protein 40,TMEM40,Q8WWA1;Q8WWA1-2,Q8WWA1,7.1,45.97,6.0,,
PCA-N,pbmc,14,Plastin-2,LCP1,P13796,P13796,7.07,7.27,32.0,,
PCA-N,pbmc,15,Superoxide dismutase [Cu-Zn],SOD1,P00441,P00441,7.06,43.74,6.0,4.8,191.96
PCA-N,pbmc,16,Fatty acid-binding protein 5,FABP5,Q01469,Q01469,7.05,48.55,12.0,4.68,252.05
PCA-N,pbmc,17,Profilin-1,PFN1,P07737,P07737,7.05,2.21,12.0,,
PCA-N,pbmc,18,Thrombospondin-1,THBS1,P07996,P07996,7.02,7.21,35.0,4.83,154.8
PCA-N,pbmc,19,Tubulin beta chain,TUBB,P07437,P07437,6.97,43.63,22.0,,
PCA-N,pbmc,20,Protein canopy homolog 3,CNPY3,Q9BT09,Q9BT09,6.96,46.49,7.0,,
PCA-N,pbmc,21,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1QBP,Q07021,Q07021,6.9,36.47,8.0,,
PCA-N,pbmc,22,Vimentin,VIM,P08670,P08670,6.8,7.14,31.0,,
PCA-N,pbmc,23,Rho GTPase-activating protein 15,ARHGAP15,Q53QZ3,Q53QZ3,6.77,48.13,3.0,,
PCA-N,pbmc,24,Pyruvate kinase PKM,PKM,P14618,P14618,6.76,8.15,23.0,4.34,217.63
PCA-N,pbmc,25,Protein CDV3 homolog,CDV3,Q9UKY7,Q9UKY7,6.75,46.96,9.0,,
